Apple Inc.,,
"P/E, long-term trends, comparison to industry (technology)",,
,,
,Apple Inc.,Technology
"Sep 26, 2020",32.24,30.82
"Sep 28, 2019",20.00,24.18
"Sep 29, 2018",16.07,23.18
"Sep 30, 2017",18.32,27.34
"Sep 24, 2016",13.49,21.08
"Sep 26, 2015",12.46,19.33
"Sep 27, 2014",15.60,18.89
"Sep 28, 2013",12.75,16.64
"Sep 29, 2012",13.42,15.64
"Sep 24, 2011",14.37,14.17
"Sep 25, 2010",20.16,15.74
"Sep 26, 2009",31.17,21.69
"Sep 27, 2008",19.00,16.01
"Sep 29, 2007",41.16,37.06
"Sep 30, 2006",36.65,32.76
"Sep 24, 2005",45.25,34.87